Caliber,Bullet_Weight_gr,Distance_yd,WS_mph,Drift_in,Drift_MOA,Drift_MRAD
.338 Lapua,300,700,15,29.10,4.00,1.2
.338 Lapua,300,800,1,2.58,0.25,0.1
.338 Lapua,300,800,2,5.16,0.50,0.2
.338 Lapua,300,800,5,12.90,1.50,0.4
.338 Lapua,300,800,10,25.80,3.00,0.9
.338 Lapua,300,800,15,38.70,4.50,1.3
.338 Lapua,300,900,1,3.32,0.25,0.1
.338 Lapua,300,900,2,6.64,0.75,0.2
.338 Lapua,300,900,5,16.60,1.75,0.5
.338 Lapua,300,900,10,33.20,3.50,1.0
.338 Lapua,300,900,15,49.80,5.25,1.5
.338 Lapua,300,1000,1,4.18,0.50,0.1
.338 Lapua,300,1000,2,8.36,0.75,0.2
.338 Lapua,300,1000,5,20.90,2.00,0.6
.338 Lapua,300,1000,10,41.80,4.00,1.2
.338 Lapua,300,1000,15,62.70,6.00,1.7
